Brand,IG,Contact,Status,Last Touch,Next Follow-up,Notes
Sabine Be,@sabinebe_officiel,,Not outreached,,,Instagram official account
SPY Optic,@spyoptic,,Not outreached,,,Instagram official account (SPY+)
LINDBERG,@lindbergeyewear,,Not outreached,,,Instagram official account
JINS,@jins_japan,,Not outreached,,,"Instagram official account (JINS Japan). Also @jins.usa for US"
EyeBuyDirect,@eyebuydirect,,Not outreached,,,Instagram official account
Warby Parker,@warbyparker,,Not outreached,,,Instagram official account
Privé Revaux,@priverevaux,,Not outreached,,,Instagram official account
Serengeti,@serengetieyewear,,Not outreached,,,Instagram official account
